id,clean_title,raw_title,source_path,in_directory,created_at,updated_at,author,published,revision,subject,genre,summary,file_type,subtitle,publisher,edition,language,domain,subfield,topics,key_concepts,target_audience,media_type,is_collection,file_extension
12,"How to Design, Build and Test Small Liquid Fuel Rocket Engines","[Rocketry] How To Design, Build And Test Small Liquid-Fuel Rocket Engines (1).pdf",/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,Leroy J. Krzycki,,1,Aerospace & Aeronautical Engineering,Technical Reference,"A comprehensive technical reference on How to Design, Build and Test Small Liquid Fuel Rocket Engines (1st Edition) by Leroy J. Krzycki. Explores foundational principles, technical methodologies, and practical applications in Aerospace & Aeronautical Engineering and Rocket Propulsion & Orbital Systems.",PDF,,,1st Edition,en,Engineering & Applied Physics,Rocket Propulsion & Orbital Systems,"aerospace, rocketry, propulsion, rocket-engines, aerodynamics, physics","Combustion Dynamics, Nozzle Design, Propellant Chemistry, Avionics, Orbital Trajectories",Advanced / Practitioner,Book / Ebook,0,.pdf
14,100 Things to See in the Night Sky,100thingstoseeinthenightsky.epub,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Astronomy & Space Science,Field Guide / Educational,"A comprehensive field guide / educational on 100 Things to See in the Night Sky (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Astronomy & Space Science and Observational Astronomy & Stargazing.",EPUB,,,1st Edition,en,Natural & Physical Sciences,Observational Astronomy & Stargazing,"astronomy, astrophysics, stargazing, night-sky, space, cosmos, telescopes","Celestial Navigation, Constellations, Optics, Planetary Motion, Deep Sky Exploration",General / Enthusiast,Book / Ebook,0,.epub
15,1014 Mini Lathe User Guide,1014 Mini Lathe User-Guide.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,"III Sanders, Sells George A., Ray",2007,1,Mechanical & Manufacturing Engineering,Practical Guide / Manual,"A comprehensive practical guide / manual on 1014 Mini Lathe User Guide (1st Edition) by III Sanders, Sells George A., Ray from Defense Technical Information Center, released in 2007. Explores foundational principles, technical methodologies, and practical applications in Mechanical & Manufacturing Engineering and Machining, Fabrication & Toolmaking.",PDF,,Defense Technical Information Center,1st Edition,en,Engineering & Applied Physics,"Machining, Fabrication & Toolmaking","mechanical-engineering, machining, lathe, metalworking, fabrication, cnc, manufacturing","Precision Machining, Tooling Geometry, Fabrication, Metal Lathe Operations, CAD/CAM Modeling",Practitioner / Craftsman,Book / Ebook,0,.pdf
16,1040 2020,1040_2020.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,2020,1,Financial & Administrative Records,Financial Document / Record,"Official fiscal documentation and financial statement record regarding 1040 2020, released in 2020.",PDF,,,1st Edition,en,"Business, Finance & Administration","Accounting, Taxes & Personal Finance","finance, accounting, taxes, financial-records, administrative","Financial Reporting, Ledger Balances, Tax Schedules, Fiscal Accounting",Administrative / General,Financial Record / Document,0,.pdf
17,12251 12251 Two Kings Manual 7 25 22 Web,12251_12251twokingsmanual7.25.22web.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 12251 12251 Two Kings Manual 7 25 22 Web (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
18,130+ Math Learning Books,130+ Math Learning Books,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Mathematics & Applied Statistics,Textbook,"Comprehensive resource bundle and reference collection focusing on 130+ Math Learning Books. Covers key principles, curated documentation, and multi-part assets across Foundational & Advanced Mathematics within Formal Sciences & Mathematics.",Directory / Folder,,,1st Edition,en,Formal Sciences & Mathematics,Foundational & Advanced Mathematics,"mathematics, statistics, calculus, linear-algebra, probability, math","Vector Spaces, Differential Operators, Probability Distributions, Proof Methods, Optimization",Academic / Practitioner,Collection / Resource Pack,1,
19,150 Survival Secrets,150survivalsecrets.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Survival & Bushcraft,Field Guide / Manual,"A comprehensive field guide / manual on 150 Survival Secrets (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Survival & Bushcraft and Wilderness Survival & Self-Reliance.",PDF,,,1st Edition,en,"Outdoor, Survival & Environmental Skills",Wilderness Survival & Self-Reliance,"survival, bushcraft, wilderness, foraging, prepping, first-aid, self-reliance","Wilderness Medicine, Shelter Construction, Foraging & Identification, Navigation, Emergency Preparedness",Practitioner / Enthusiast,Book / Ebook,0,.pdf
20,15 Math Concepts Every Data Scientist Should Know,15mathconceptseverydatascientistshouldknow (1).pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Data Science & Statistical Analysis,Technical Reference,"A comprehensive technical reference on 15 Math Concepts Every Data Scientist Should Know (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Data Science & Statistical Analysis and Applied Data Science & Mining.",PDF,,,1st Edition,en,Computer Science & Artificial Intelligence,Applied Data Science & Mining,"data-science, python, statistics, analytics, machine-learning, data-engineering","Exploratory Data Analysis, Statistical Modeling, Feature Extraction, Data Pipelines",Intermediate / Practitioner,Book / Ebook,0,.pdf
22,1706 03762 v 7,1706.03762v7 2.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 1706 03762 v 7 (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
24,20 Chemistry Books Collection Pack 5,20 Chemistry Books Collection Pack-5,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,5,Chemistry & Chemical Sciences,Textbook,"Comprehensive resource bundle and reference collection focusing on 20 Chemistry Books Collection Pack 5. Covers key principles, curated documentation, and multi-part assets across Organic & Applied Chemistry within Natural & Physical Sciences.",Directory / Folder,,,Pack 5,en,Natural & Physical Sciences,Organic & Applied Chemistry,"chemistry, organic-chemistry, science, biochemistry, molecular-science","Molecular Structures, Reaction Mechanisms, Stoichiometry, Thermodynamics, Synthesis",Academic / Practitioner,Collection / Resource Pack,1,
25,2015.56702.Treatise on White Magic,2015.56702.Treatise-On-White-Magic.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,2015,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 2015.56702.Treatise on White Magic (1st Edition), released in 2015. Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
26,2024 04 12 Statement - USB Credit Card 5385,2024-04-12 Statement - USB Credit Card 5385.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,2024-04-12,1,Financial & Administrative Records,Financial Document / Record,"Official fiscal documentation and financial statement record regarding 2024 04 12 Statement - USB Credit Card 5385, released in 2024-04-12.",PDF,USB Credit Card 5385,,1st Edition,en,"Business, Finance & Administration","Accounting, Taxes & Personal Finance","finance, accounting, taxes, financial-records, administrative","Financial Reporting, Ledger Balances, Tax Schedules, Fiscal Accounting",Administrative / General,Financial Record / Document,0,.pdf
27,20240319,20240319.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 20240319 (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
28,20240320,20240320.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 20240320 (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
29,20240720,20240720.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 20240720 (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
30,2025 09 Eb Big Book of Machine Learning 3rd Edition,2025-09-eb-big-book-of-machine-learning-3rd-ed.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,2025,3,Artificial Intelligence & Machine Learning,Technical Reference,"A comprehensive technical reference on 2025 09 Eb Big Book of Machine Learning 3rd Edition (3rd Edition), released in 2025. Explores foundational principles, technical methodologies, and practical applications in Artificial Intelligence & Machine Learning and Deep Learning & Generative AI.",PDF,,,3rd Edition,en,Computer Science & Artificial Intelligence,Deep Learning & Generative AI,"ai, machine-learning, deep-learning, llm, neural-networks, transformers, nlp, generative-ai","Model Architectures, Training Pipelines, Neural Optimization, Embeddings, Agentic Workflows",Advanced / Practitioner,Book / Ebook,0,.pdf
31,30 Awesome Projects with the Raspberry Pi and Raspberry Pi Zero - Raspberry Pi and Raspberry Pi Zero Ideas and Tips for Hobbies,30 Awesome Projects With The Raspberry Pi and Raspberry Pi Zero - Raspberry Pi and Raspberry Pi Zero Ideas and Tips For Hobbies,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Electrical & Embedded Engineering,Textbook / Technical Reference,"Comprehensive resource bundle and reference collection focusing on 30 Awesome Projects with the Raspberry Pi and Raspberry Pi Zero - Raspberry Pi and Raspberry Pi Zero Ideas and Tips for Hobbies (Raspberry Pi and Raspberry Pi Zero Ideas and Tips for Hobbies). Covers key principles, curated documentation, and multi-part assets across Circuit Design, Embedded Systems & Hardware within Engineering & Applied Physics.",Directory / Folder,Raspberry Pi and Raspberry Pi Zero Ideas and Tips for Hobbies,,1st Edition,en,Engineering & Applied Physics,"Circuit Design, Embedded Systems & Hardware","electronics, electrical-engineering, embedded-systems, arduino, raspberry-pi, circuits, sensors, pcb","Analog & Digital Circuits, Microcontrollers, Signal Processing, Sensor Interfacing, Hardware Design",Intermediate / Practitioner,Directory / Resource Pack,1,
32,40 Algorithms Every Programmer Should Know,40algorithmseveryprogrammershouldknow.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Software Engineering & Computer Science,Textbook / Technical Reference,"A comprehensive textbook / technical reference on 40 Algorithms Every Programmer Should Know (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Software Engineering & Computer Science and Algorithms & System Architecture.",PDF,,,1st Edition,en,Computer Science & Artificial Intelligence,Algorithms & System Architecture,"algorithms, data-structures, computer-science, software-engineering, architecture","Algorithmic Complexity, Big-O, Data Structures, Distributed Systems, Software Design",Intermediate / Advanced,Book / Ebook,0,.pdf
33,42 Factors Explained October2019,42FactorsExplainedOctober2019.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 42 Factors Explained October2019 (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
34,4ada22e4a70df9e2321f2c7ec15974a50bd156fb55786f088ab6737e5f71b7e9 1712967559,4ada22e4a70df9e2321f2c7ec15974a50bd156fb55786f088ab6737e5f71b7e9_1712967559.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 4ada22e4a70df9e2321f2c7ec15974a50bd156fb55786f088ab6737e5f71b7e9 1712967559 (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
35,5 Gurushots Tips 1,5-Gurushots-Tips-1.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 5 Gurushots Tips 1 (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
36,50 Algorithms Every Programmer Should Know,50algorithmseveryprogrammershouldknow.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Software Engineering & Computer Science,Textbook / Technical Reference,"A comprehensive textbook / technical reference on 50 Algorithms Every Programmer Should Know (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Software Engineering & Computer Science and Algorithms & System Architecture.",PDF,,,1st Edition,en,Computer Science & Artificial Intelligence,Algorithms & System Architecture,"algorithms, data-structures, computer-science, software-engineering, architecture","Algorithmic Complexity, Big-O, Data Structures, Distributed Systems, Software Design",Intermediate / Advanced,Book / Ebook,0,.pdf
37,51+E DPR Rm CL,51+EDprRmCL.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 51+E DPR Rm CL (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
38,52 Prepper Projects,52prepperprojects.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Survival & Bushcraft,Field Guide / Manual,"A comprehensive field guide / manual on 52 Prepper Projects (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Survival & Bushcraft and Wilderness Survival & Self-Reliance.",PDF,,,1st Edition,en,"Outdoor, Survival & Environmental Skills",Wilderness Survival & Self-Reliance,"survival, bushcraft, wilderness, foraging, prepping, first-aid, self-reliance","Wilderness Medicine, Shelter Construction, Foraging & Identification, Navigation, Emergency Preparedness",Practitioner / Enthusiast,Book / Ebook,0,.pdf
39,80301829,80301829.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 80301829 (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
40,80879 v 00 Deep Learning eBook,80879v00-deep-learning-ebook.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Artificial Intelligence & Machine Learning,Technical Reference,"A comprehensive technical reference on 80879 v 00 Deep Learning eBook (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Artificial Intelligence & Machine Learning and Deep Learning & Generative AI.",PDF,,,1st Edition,en,Computer Science & Artificial Intelligence,Deep Learning & Generative AI,"ai, machine-learning, deep-learning, llm, neural-networks, transformers, nlp, generative-ai","Model Architectures, Training Pipelines, Neural Optimization, Embeddings, Agentic Workflows",Advanced / Practitioner,Book / Ebook,0,.pdf
41,8BBJT Manual Digital,8BBJT-Manual-Digital.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 8BBJT Manual Digital (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
42,9781803243191,9781803243191.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 9781803243191 (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
43,9781804618370,9781804618370.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 9781804618370 (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
44,9781805123705,9781805123705.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on 9781805123705 (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
